,cid,text,time,author,channel,votes,photo,heart
845,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDzCKoLRVB, @Rithish kumar  🙄🙄2035 a in that year also colombo will not merge to India 😂😂,9 hours ago,pavithra,UCRJwVArOu_BIg245urYo_Pw,0,https://yt3.ggpht.com/ytc/AAUvwnhDNDbjezVRGAumpr2z_MvrIPr4aoTFF3EgIU3OsQ=s176-c-k-c0x00ffffff-no-rj,False
846,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDyHLMxLaA," @pavithra  I'm from 2035 
Colombo is part of India",9 hours ago,Rithish kumar,UCx_e8wF9LKkWWapHq6bE-xg,0,https://yt3.ggpht.com/ytc/AAUvwnhGdcOok-zjCqVvS517VcW9m1Mo0IEA4y1Fkl5Jpw=s176-c-k-c0x00ffffff-no-rj,False
847,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDx8IngYPB, @Rithish kumar  what did you mean bro. colombo srilanka only not india can u check clearly,9 hours ago,pavithra,UCRJwVArOu_BIg245urYo_Pw,0,https://yt3.ggpht.com/ytc/AAUvwnhDNDbjezVRGAumpr2z_MvrIPr4aoTFF3EgIU3OsQ=s176-c-k-c0x00ffffff-no-rj,False
848,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDvjHpcOja, @pavithra Colombo is part of India not Sri Lanka,10 hours ago,Rithish kumar,UCx_e8wF9LKkWWapHq6bE-xg,0,https://yt3.ggpht.com/ytc/AAUvwnhGdcOok-zjCqVvS517VcW9m1Mo0IEA4y1Fkl5Jpw=s176-c-k-c0x00ffffff-no-rj,False
849,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDvB4b7ZW5, @Rithish kumar  she's native is srilanka only but she born in Tamil Nadu,10 hours ago,pavithra,UCRJwVArOu_BIg245urYo_Pw,0,https://yt3.ggpht.com/ytc/AAUvwnhDNDbjezVRGAumpr2z_MvrIPr4aoTFF3EgIU3OsQ=s176-c-k-c0x00ffffff-no-rj,False
850,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NDYqAp_STE,"She is from tamileelam,india not Sri Lanka",13 hours ago (edited),Rithish kumar,UCx_e8wF9LKkWWapHq6bE-xg,0,https://yt3.ggpht.com/ytc/AAUvwnhGdcOok-zjCqVvS517VcW9m1Mo0IEA4y1Fkl5Jpw=s176-c-k-c0x00ffffff-no-rj,False
851,Ugw8hc7ztZUpZHBdZPF4AaABAg,"Catchy, what language is this?",17 hours ago,Arun R,UCkPP11fwQwxzddzmyFya_ew,1,https://yt3.ggpht.com/ytc/AAUvwnjbhp9hGlPT3MLg1xMoOlYd9YQRcf2Ma4rlE4fp69g=s176-c-k-c0x00ffffff-no-rj,False
852,Ugy4GHMI0Tkq8k8mStV4AaABAg,201m😯🙆‍♂️,17 hours ago,Shifana Zaad,UCXpKYba1GLpXXsCcivxZshA,1,https://yt3.ggpht.com/ytc/AAUvwnjzyDZ7toEmZ-9V-YYQm9_uf700WA5B3tl5WQ=s176-c-k-c0x00ffffff-no-rj,False
853,UgytgL8emSNuvSbXZ0x4AaABAg,200M views soon ❤ Enjoy Enjaami!,17 hours ago (edited),NIVV Official,UC60doFFcXhaCkfBtlj2WdLA,1,https://yt3.ggpht.com/ytc/AAUvwngOtJeuOkLsGEuU70oWrmvHAjPdHwUoTDYixgJs5Q=s176-c-k-c0x00ffffff-no-rj,False
854,UgxC3q6RXTYMvNUU5J94AaABAg,Wow 201 m views 👌👌👌,17 hours ago,cocoshine natural dishwash scrubber,UCASIRWC954KeR7-amelJeHw,1,https://yt3.ggpht.com/ytc/AAUvwnh5tCcUqP14gf_pIaS75J_ekobRISvkISlVkEdCOw=s176-c-k-c0x00ffffff-no-rj,False
